regional,seed,national.seed,team
WINSTON-SALEM,1,1,Wake Forest
WINSTON-SALEM,2,,Maryland
WINSTON-SALEM,3,,Northeastern
WINSTON-SALEM,4,,George Mason
TUSCALOOSA,1,16,Alabama
TUSCALOOSA,2,,Boston College
TUSCALOOSA,3,,Troy
TUSCALOOSA,4,,Nicholls
CORAL GABLES,1,9,Miami (FL)
CORAL GABLES,2,,Texas
CORAL GABLES,3,,Louisiana
CORAL GABLES,4,,Maine
STANFORD,1,8,Stanford
STANFORD,2,,Texas A&M
STANFORD,3,,Cal St. Fullerton
STANFORD,4,,San Jose State
BATON ROUGE,1,5,LSU
BATON ROUGE,2,,Oregon St.
BATON ROUGE,3,,Sam Houston
BATON ROUGE,4,,Tulane
LEXINGTON,1,12,Kentucky
LEXINGTON,2,,West Virginia
LEXINGTON,3,,Indiana
LEXINGTON,4,,Ball State
AUBURN,1,13,Auburn
AUBURN,2,,Southern Miss.
AUBURN,3,,Samford
AUBURN,4,,Penn
CLEMSON,1,4,Clemson
CLEMSON,2,,Tennessee
CLEMSON,3,,Charlotte
CLEMSON,4,,Lipscomb
GAINESVILLE,1,2,Florida
GAINESVILLE,2,,UConn
GAINESVILLE,3,,Texas Tech
GAINESVILLE,4,,Florida A&M
COLUMBIA,1,15,South Carolina
COLUMBIA,2,,Campbell
COLUMBIA,3,,NC State
COLUMBIA,4,,Central Connecticut
CONWAY,1,10,Coastal Carolina
CONWAY,2,,Duke
CONWAY,3,,UNC Wilmington
CONWAY,4,,Rider
CHARLOTTESVILLE,1,7,Virginia
CHARLOTTESVILLE,2,,East Carolina
CHARLOTTESVILLE,3,,Oklahoma
CHARLOTTESVILLE,4,,Army West Point
NASHVILLE,1,6,Vanderbilt
NASHVILLE,2,,Oregon
NASHVILLE,3,,Xavier
NASHVILLE,4,,Eastern Illinois
STILLWATER,1,11,Oklahoma St.
STILLWATER,2,,DBU
STILLWATER,3,,Washington
STILLWATER,4,,Oral Roberts
TERRE HAUTE,1,14,Indiana St.
TERRE HAUTE,2,,Iowa
TERRE HAUTE,3,,North Carolina
TERRE HAUTE,4,,Wright St.
FAYETTEVILLE,1,3,Arkansas
FAYETTEVILLE,2,,TCU
FAYETTEVILLE,3,,Arizona
FAYETTEVILLE,4,,Santa Clara